Source,Target,Type,Id,Label,timeset,Weight
1285,3211,Directed,0,,,1
468,2914,Directed,1,,,1
416,3825,Directed,2,,,1
126,2566,Directed,3,,,1
126,1329,Directed,4,,,1
288,3831,Directed,5,,,1
407,2203,Directed,6,,,1
473,3720,Directed,7,,,1
282,1338,Directed,8,,,1
282,1339,Directed,9,,,1
282,2851,Directed,10,,,1
686,2814,Directed,11,,,1
575,3609,Directed,12,,,1
575,1348,Directed,13,,,1
199,3160,Directed,14,,,1
199,3161,Directed,15,,,1
199,3248,Directed,16,,,1
199,3292,Directed,17,,,1
112,3780,Directed,18,,,1
113,3780,Directed,19,,,1
113,2309,Directed,20,,,1
113,1361,Directed,21,,,1
62,3571,Directed,22,,,1
923,3931,Directed,23,,,1
542,1631,Directed,24,,,1
466,2105,Directed,25,,,1
466,3730,Directed,26,,,1
77,3712,Directed,27,,,1
856,1394,Directed,28,,,1
856,3830,Directed,29,,,1
856,1396,Directed,30,,,1
643,3554,Directed,31,,,1
545,1402,Directed,32,,,1
545,2974,Directed,33,,,1
664,1515,Directed,34,,,1
157,2966,Directed,35,,,1
30,1420,Directed,36,,,1
30,1421,Directed,37,,,1
30,3553,Directed,38,,,1
30,3539,Directed,39,,,1
30,1424,Directed,40,,,1
30,3985,Directed,41,,,1
30,3057,Directed,42,,,1
30,3904,Directed,43,,,1
30,1428,Directed,44,,,1
30,3331,Directed,45,,,1
30,1430,Directed,46,,,1
30,1431,Directed,47,,,1
1080,2120,Directed,48,,,1
120,2565,Directed,49,,,1
120,3539,Directed,50,,,1
120,2105,Directed,51,,,1
120,1442,Directed,52,,,1
120,1443,Directed,53,,,1
120,2120,Directed,54,,,1
367,2819,Directed,55,,,1
367,1446,Directed,56,,,1
367,1447,Directed,57,,,1
367,1448,Directed,58,,,1
367,3636,Directed,59,,,1
367,3619,Directed,60,,,1
136,3631,Directed,61,,,1
41,1455,Directed,62,,,1
41,1456,Directed,63,,,1
41,1457,Directed,64,,,1
41,1458,Directed,65,,,1
41,3505,Directed,66,,,1
41,1460,Directed,67,,,1
41,3627,Directed,68,,,1
41,1462,Directed,69,,,1
41,1463,Directed,70,,,1
765,3488,Directed,71,,,1
765,1465,Directed,72,,,1
770,3895,Directed,73,,,1
365,3985,Directed,74,,,1
872,3958,Directed,75,,,1
644,3554,Directed,76,,,1
441,1660,Directed,77,,,1
441,3511,Directed,78,,,1
441,1477,Directed,79,,,1
441,1763,Directed,80,,,1
1002,3191,Directed,81,,,1
453,3842,Directed,82,,,1
480,3523,Directed,83,,,1
121,2565,Directed,84,,,1
121,2507,Directed,85,,,1
121,1491,Directed,86,,,1
121,1492,Directed,87,,,1
637,2550,Directed,88,,,1
134,1623,Directed,89,,,1
402,3599,Directed,90,,,1
402,1501,Directed,91,,,1
402,3812,Directed,92,,,1
1148,3659,Directed,93,,,1
1245,1552,Directed,94,,,1
1245,2932,Directed,95,,,1
68,3168,Directed,96,,,1
68,1533,Directed,97,,,1
68,1512,Directed,98,,,1
68,1513,Directed,99,,,1
68,1514,Directed,100,,,1
68,1515,Directed,101,,,1
68,1516,Directed,102,,,1
68,3567,Directed,103,,,1
68,1518,Directed,104,,,1
68,3344,Directed,105,,,1
68,2625,Directed,106,,,1
68,1521,Directed,107,,,1
68,1522,Directed,108,,,1
219,2182,Directed,109,,,1
219,1524,Directed,110,,,1
219,1525,Directed,111,,,1
219,1526,Directed,112,,,1
219,1527,Directed,113,,,1
154,3708,Directed,114,,,1
154,1529,Directed,115,,,1
408,2203,Directed,116,,,1
408,3653,Directed,117,,,1
98,1533,Directed,118,,,1
661,1534,Directed,119,,,1
661,1535,Directed,120,,,1
661,3344,Directed,121,,,1
661,3117,Directed,122,,,1
661,1538,Directed,123,,,1
327,3713,Directed,124,,,1
327,1541,Directed,125,,,1
327,2816,Directed,126,,,1
327,1727,Directed,127,,,1
327,2818,Directed,128,,,1
328,3713,Directed,129,,,1
328,3913,Directed,130,,,1
328,1548,Directed,131,,,1
570,1550,Directed,132,,,1
570,3488,Directed,133,,,1
570,1552,Directed,134,,,1
570,2932,Directed,135,,,1
119,1554,Directed,136,,,1
119,3662,Directed,137,,,1
119,2437,Directed,138,,,1
119,3159,Directed,139,,,1
490,3511,Directed,140,,,1
941,3806,Directed,141,,,1
778,3980,Directed,142,,,1
778,1573,Directed,143,,,1
778,1574,Directed,144,,,1
778,3841,Directed,145,,,1
778,1576,Directed,146,,,1
1033,3158,Directed,147,,,1
555,3821,Directed,148,,,1
938,3894,Directed,149,,,1
938,3288,Directed,150,,,1
938,1586,Directed,151,,,1
938,2887,Directed,152,,,1
481,3523,Directed,153,,,1
385,2099,Directed,154,,,1
385,3082,Directed,155,,,1
380,2747,Directed,156,,,1
69,3168,Directed,157,,,1
1306,3446,Directed,158,,,1
474,3720,Directed,159,,,1
474,3738,Directed,160,,,1
474,3677,Directed,161,,,1
474,3485,Directed,162,,,1
48,1621,Directed,163,,,1
48,1622,Directed,164,,,1
48,1623,Directed,165,,,1
48,1624,Directed,166,,,1
48,1625,Directed,167,,,1
48,1626,Directed,168,,,1
48,1627,Directed,169,,,1
48,1628,Directed,170,,,1
48,1629,Directed,171,,,1
48,1630,Directed,172,,,1
48,1631,Directed,173,,,1
48,1632,Directed,174,,,1
48,1633,Directed,175,,,1
48,2856,Directed,176,,,1
48,1635,Directed,177,,,1
48,1636,Directed,178,,,1
48,1637,Directed,179,,,1
48,3506,Directed,180,,,1
48,3974,Directed,181,,,1
48,1640,Directed,182,,,1
48,1641,Directed,183,,,1
48,1642,Directed,184,,,1
48,1643,Directed,185,,,1
743,3805,Directed,186,,,1
965,3467,Directed,187,,,1
442,1660,Directed,188,,,1
137,3631,Directed,189,,,1
137,3708,Directed,190,,,1
137,1663,Directed,191,,,1
137,3278,Directed,192,,,1
137,3852,Directed,193,,,1
137,3246,Directed,194,,,1
137,3677,Directed,195,,,1
137,3492,Directed,196,,,1
137,1669,Directed,197,,,1
137,3251,Directed,198,,,1
137,1671,Directed,199,,,1
137,3957,Directed,200,,,1
137,1673,Directed,201,,,1
137,2899,Directed,202,,,1
137,2840,Directed,203,,,1
137,1676,Directed,204,,,1
137,1677,Directed,205,,,1
137,3397,Directed,206,,,1
137,2253,Directed,207,,,1
