Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
0,0,,3,3,27,0.066088,0.074399,30684.964268,0,0,20,0.000212,0,0,0,0.045601
1,1,,4,4,40,0.045759,0.056578,63484.20938,0,0,28,0.000295,0,0,0,0.043343
2,2,,1,1,43,0.039841,0.046825,0,0,0,28,0.0001,0,0,0,0.011617
3,3,,1,1,40,0.039694,0.042464,0,0,0,7,0.000123,0,0,0,0.008001
4,4,,1,1,37,0.052209,0.059295,0,0,0,9,0.000093,0,0,0,0.02301
5,5,,2,2,39,0.047043,0.053328,2108.213601,0,0,9,0.000177,0,0,0,0.021642
6,6,,1,1,35,0.055036,0.062414,0,0,0,0,0.000108,0,0,0,0.010125
7,7,,1,1,35,0.055036,0.062414,0,0,0,0,0.000108,0,0,0,0.010125
8,8,,3,3,34,0.058241,0.067694,9877,0,0,0,0.000274,0,0,0,0.030469
9,9,,6,6,33,0.061839,0.074116,42086.275773,0,0,0,0.000425,0,0,0,0.078564
10,10,,2,2,34,0.05827,0.067873,12.766667,0,0,0,0.000148,0,0,0,0.034547
11,11,,2,2,35,0.056193,0.06719,1169.661686,0,0,0,0.000149,0,0,0,0.034635
12,12,,1,1,39,0.045803,0.051534,0,0,0,9,0.000102,0,0,0,0.01437
13,13,,5,5,38,0.048001,0.05542,21949.866206,0,0,9,0.000424,0,0,0,0.045157
14,14,,5,5,39,0.046962,0.053856,15289.036511,0,0,9,0.000434,0,0,0,0.043977
15,15,,1,1,39,0.045803,0.051534,0,0,0,9,0.000102,0,0,0,0.01437
16,16,,1,1,40,0.044856,0.050195,0,0,0,9,0.000104,0,0,0,0.014219
17,17,,1,1,40,0.044856,0.050195,0,0,0,9,0.000104,0,0,0,0.014219
18,18,,2,2,37,0.051809,0.059112,1918.416418,0,0,9,0.000171,0,0,0,0.016452
