Source,Target,Type,Id,Label,timeset,Weight
1285,3211,Undirected,3926,,,1
468,2914,Undirected,3927,,,1
416,3825,Undirected,3928,,,1
126,2566,Undirected,3929,,,1
126,1329,Undirected,3930,,,1
288,3831,Undirected,3931,,,1
407,2203,Undirected,3932,,,1
473,3720,Undirected,3933,,,1
282,1338,Undirected,3934,,,1
282,1339,Undirected,3935,,,1
282,2851,Undirected,3936,,,1
686,2814,Undirected,3937,,,1
575,3609,Undirected,3938,,,1
575,1348,Undirected,3939,,,1
199,3160,Undirected,3940,,,1
199,3161,Undirected,3941,,,1
199,3248,Undirected,3942,,,1
199,3292,Undirected,3943,,,1
112,3780,Undirected,3944,,,1
113,3780,Undirected,3945,,,1
113,2309,Undirected,3946,,,1
113,1361,Undirected,3947,,,1
62,3571,Undirected,3948,,,1
923,3931,Undirected,3949,,,1
542,1631,Undirected,3950,,,1
466,2105,Undirected,3951,,,1
466,3730,Undirected,3952,,,1
77,3712,Undirected,3953,,,1
856,1394,Undirected,3954,,,1
856,3830,Undirected,3955,,,1
856,1396,Undirected,3956,,,1
643,3554,Undirected,3957,,,1
545,1402,Undirected,3958,,,1
545,2974,Undirected,3959,,,1
664,1515,Undirected,3960,,,1
157,2966,Undirected,3961,,,1
30,1420,Undirected,3962,,,1
30,1421,Undirected,3963,,,1
30,3553,Undirected,3964,,,1
30,3539,Undirected,3965,,,1
30,1424,Undirected,3966,,,1
30,3985,Undirected,3967,,,1
30,3057,Undirected,3968,,,1
30,3904,Undirected,3969,,,1
30,1428,Undirected,3970,,,1
30,3331,Undirected,3971,,,1
30,1430,Undirected,3972,,,1
30,1431,Undirected,3973,,,1
1080,2120,Undirected,3974,,,1
120,2565,Undirected,3975,,,1
120,3539,Undirected,3976,,,1
120,2105,Undirected,3977,,,1
120,1442,Undirected,3978,,,1
120,1443,Undirected,3979,,,1
120,2120,Undirected,3980,,,1
367,2819,Undirected,3981,,,1
367,1446,Undirected,3982,,,1
367,1447,Undirected,3983,,,1
367,1448,Undirected,3984,,,1
367,3636,Undirected,3985,,,1
367,3619,Undirected,3986,,,1
136,3631,Undirected,3987,,,1
41,1455,Undirected,3988,,,1
41,1456,Undirected,3989,,,1
41,1457,Undirected,3990,,,1
41,1458,Undirected,3991,,,1
41,3505,Undirected,3992,,,1
41,1460,Undirected,3993,,,1
41,3627,Undirected,3994,,,1
41,1462,Undirected,3995,,,1
41,1463,Undirected,3996,,,1
765,3488,Undirected,3997,,,1
765,1465,Undirected,3998,,,1
770,3895,Undirected,3999,,,1
365,3985,Undirected,4000,,,1
872,3958,Undirected,4001,,,1
644,3554,Undirected,4002,,,1
441,1660,Undirected,4003,,,1
441,3511,Undirected,4004,,,1
441,1477,Undirected,4005,,,1
441,1763,Undirected,4006,,,1
1002,3191,Undirected,4007,,,1
453,3842,Undirected,4008,,,1
480,3523,Undirected,4009,,,1
121,2565,Undirected,4010,,,1
121,2507,Undirected,4011,,,1
121,1491,Undirected,4012,,,1
121,1492,Undirected,4013,,,1
637,2550,Undirected,4014,,,1
134,1623,Undirected,4015,,,1
402,3599,Undirected,4016,,,1
402,1501,Undirected,4017,,,1
402,3812,Undirected,4018,,,1
1148,3659,Undirected,4019,,,1
1245,1552,Undirected,4020,,,1
1245,2932,Undirected,4021,,,1
68,3168,Undirected,4022,,,1
68,1533,Undirected,4023,,,1
68,1512,Undirected,4024,,,1
68,1513,Undirected,4025,,,1
68,1514,Undirected,4026,,,1
68,1515,Undirected,4027,,,1
68,1516,Undirected,4028,,,1
68,3567,Undirected,4029,,,1
68,1518,Undirected,4030,,,1
68,3344,Undirected,4031,,,1
68,2625,Undirected,4032,,,1
68,1521,Undirected,4033,,,1
68,1522,Undirected,4034,,,1
219,2182,Undirected,4035,,,1
219,1524,Undirected,4036,,,1
219,1525,Undirected,4037,,,1
219,1526,Undirected,4038,,,1
219,1527,Undirected,4039,,,1
154,3708,Undirected,4040,,,1
154,1529,Undirected,4041,,,1
408,2203,Undirected,4042,,,1
408,3653,Undirected,4043,,,1
98,1533,Undirected,4044,,,1
661,1534,Undirected,4045,,,1
661,1535,Undirected,4046,,,1
661,3344,Undirected,4047,,,1
661,3117,Undirected,4048,,,1
661,1538,Undirected,4049,,,1
327,3713,Undirected,4050,,,1
327,1541,Undirected,4051,,,1
327,2816,Undirected,4052,,,1
327,1727,Undirected,4053,,,1
327,2818,Undirected,4054,,,1
328,3713,Undirected,4055,,,1
328,3913,Undirected,4056,,,1
328,1548,Undirected,4057,,,1
570,1550,Undirected,4058,,,1
570,3488,Undirected,4059,,,1
570,1552,Undirected,4060,,,1
570,2932,Undirected,4061,,,1
119,1554,Undirected,4062,,,1
119,3662,Undirected,4063,,,1
119,2437,Undirected,4064,,,1
119,3159,Undirected,4065,,,1
490,3511,Undirected,4066,,,1
941,3806,Undirected,4067,,,1
778,3980,Undirected,4068,,,1
